player,team,team_conf,fip_num,rating_adjustment,conf_diff,adj_fip_num,IP,FIP,adj_FIP
"Canady, NiJaree",Stanford,Stanford,-356,40.64084665063093,-0.3246877894348227,-396.96553444006577,208.1,0.9506086249298171,0.7537535819693857
"Curd, Cassidy",Duke,Duke,-107,24.95114817850088,-0.5725915467684243,-132.5237397252693,123.89999999999999,1.7977249496929706,1.591722207761822
"Pickens, Karlyn",Tennessee,Tennessee,-169,24.309874647292247,-1.3197044161091127,-194.62957906340137,185.3,1.7492900882658935,1.6109761159863394
"Shroyer, Brooklyn",FDU,FDU,-205,-25.42670953149733,0.4090263651964135,-179.16426410330627,190.5,1.5852091412876654,1.7208298021626982
"Berzon, Sydney",LSU,LSU,-125,52.67290038412506,-1.3193367120047346,-178.9922370961298,199.1,2.0334994133913975,1.762317911150665
"Johnson, Maya",Belmont,Belmont,-145,-17.18534030987671,0.4379530026047067,-127.37670668751859,145,1.66132462685197,1.782864580731152
"Wright, Jala",Duke,Duke,-104,31.23087289500996,-0.3768237579423781,-135.60769665295234,155.9,1.9942303356396542,1.7914869318362396
"Courtney, Autumn",Queens (NC),Queens (NC),-206,-21.79379628487128,-0.7412114153019826,-184.9474151304307,217.3,1.7133264676250946,1.8102090487091687
"Groff, Maddia",Southern Ill.,Southern Ill.,-201,-21.829475735896533,0.5356414007313305,-178.63488286337216,216,1.7307690712964143,1.834311280262284
"Kilfoyl, Lexi",Oklahoma St.,Oklahoma St.,-87,53.43526851927462,0.11652297421497448,-140.31874554505964,178.6,2.1742025663816453,1.875665357282767
"Ricard, Kasey",Boston U.,Boston U.,-193,-20.85815545475539,-0.04207161216859699,-172.18391615741322,224.7,1.8024016183962512,1.8950410658487957
"Hall, Jensin",Dartmouth,Dartmouth,-83,-3.8424317453433137,0.8172680537544941,-78.34030020090219,103.2,1.857061060960497,1.9022131907967161
"Bajusz, Rissa",Western Mich.,Western Mich.,-137,-4.716826509720184,0.8748353902032489,-131.40833810007655,177.6,1.8899282304555736,1.921412813225413
"Rainey, Haley",Cal St. Fullerton,Cal St. Fullerton,-130,0.8804422812623974,0.47923263868333993,-130.40120964257906,181.7,1.9458595745679852,1.943651486276411
"Gottshall, Payton",Tennessee,Tennessee,-80,17.24743886625617,-1.4500548619708646,-98.69749372822704,147.7,2.1196861705215704,1.9930951500190175
"Mullins, Jessica",Texas St.,Texas St.,-116,43.68707887122691,0.40820562311126035,-159.27887324811564,241.3,2.1805952443405734,2.001238123544404
"Benefiel, Jordan",Austin Peay,Austin Peay,-95,-4.674432456994756,-0.22797447971685075,-90.5535420227221,140.9,1.987087579300515,2.0186451234969516
"Weyh, Amanda",Lindenwood,Lindenwood,-104,-2.5230005875565458,-0.8320291627402732,-102.30902857518372,163.3,2.02445996059355,2.0348149601331476
"Vesco, Grace",Saint Francis (PA),Saint Francis (PA),-142,-24.821165873995646,0.7602131289469987,-116.41862099705735,186,1.8978837666369162,2.0354180623516616
"Apsel, Julia",Hofstra,Hofstra,-127,-9.331538657918829,0.23473993652627145,-117.4337214055549,199.8,2.0256889912163345,2.073568263460804
"Chambers, Staci",Cal St. Fullerton,Cal St. Fullerton,-83,3.312035937991292,0.41218760749842903,-85.89984833049287,146.4,2.0943847361415875,2.0745770289660896
"Price, Emily",Western Ill.,Western Ill.,-105,-27.65492578614779,-0.8980363220159672,-78.24311053586818,148.7,1.9552049227497506,2.1351436548555465
"Leinstock, Morgan",Arkansas,Arkansas,-49,19.300553553750397,-1.6398731368744832,-69.94042669062489,135.3,2.299166459815754,2.144396122117122
"Benning, Allison",North Florida,North Florida,-95,-7.968769713733224,-0.3818144474983878,-87.41304473376516,170.4,2.103812889762768,2.148337275127996
"Caviness, Erin",Northern Colo.,Northern Colo.,-91,-13.635645659574989,0.1595710488520367,-77.20478329157298,164.4,2.1077966463166904,2.191709156708582
"Oslanzi, McKenzie",Eastern Ill.,Eastern Ill.,-111,-32.15548379520138,-0.768696998351665,-79.6132132031503,172.1,2.016350774440581,2.1987260608836356
"Francia, Loreley",St. John's (NY),St. John's (NY),-82,-19.475746591808353,-0.27593400455079686,-62.800187412742446,140.8,2.0789382632156066,2.2153005685228333
"Meyer, Kamryn",Omaha,Omaha,-96,-7.151298945826843,0.17461545904122006,-88.67408559513194,210,2.2041817697091126,2.239067076398961
